"date","stamp","year"
2014-09-15,18.934875,2014
2014-09-16,18.937625,2014
2014-09-17,19.099,2014
2014-09-18,18.9765833333333,2014
2014-09-19,19.0857916666667,2014
2014-09-20,18.7291666666667,2014
2014-09-21,18.7864166666667,2014
2014-09-22,18.815125,2014
2014-09-23,18.5287083333333,2014
2014-09-24,18.0782083333333,2014
2014-09-25,17.987,2014
2014-09-26,18.0859583333333,2014
2014-09-27,18.0573333333333,2014
2014-09-28,17.9401666666667,2014
2014-09-29,17.9140416666667,2014
2014-09-30,17.4947916666667,2014
2014-10-01,17.3020416666667,2014
2014-10-02,16.984375,2014
2014-10-03,17.3332916666667,2014
2014-10-04,17.7864583333333,2014
2014-10-05,18.11975,2014
2014-10-06,18.1485,2014
2014-10-07,18.3020416666667,2014
2014-10-08,18.07025,2014
2014-10-09,17.979,2014
2014-10-10,17.7265833333333,2014
2014-10-11,17.4556666666667,2014
2014-10-12,17.0884583333333,2014
2014-10-13,16.6615416666667,2014
2014-10-14,16.46875,2014
2014-10-15,16.348875,2014
2014-10-16,16.284,2014
2014-10-17,15.786625,2014
2014-10-18,15.4790833333333,2014
2014-10-19,15.1457916666667,2014
2014-10-20,13.9712916666667,2014
2014-10-21,14.1198333333333,2014
2014-10-22,13.2733333333333,2014
2014-10-23,13.3697083333333,2014
2014-10-24,13.625,2014
2014-10-25,13.4349166666667,2014
2014-10-26,13.00525,2014
2014-10-27,12.890625,2014
2014-10-28,12.414,2014
2014-10-29,12.3124583333333,2014
2014-10-30,12.31775,2014
2014-10-31,12.26575,2014
2014-11-01,12.2160833333333,2014
2014-11-02,12.1014583333333,2014
2014-11-03,12.4322083333333,2014
2014-11-04,12.25525,2014
2014-11-05,12.106625,2014
2014-11-06,12.0235833333333,2014
2014-11-07,11.3125416666667,2014
2014-11-08,11.466125,2014
2014-11-09,11.4270416666667,2014
2014-11-10,11.07825,2014
2014-11-11,10.7187083333333,2014
2014-11-12,9.7438,2014
2014-11-13,9.125,2014
2014-11-14,9.00775892857143,2014
2014-11-15,8.70517894736842,2014
2014-11-16,8.42681944444444,2014
2014-11-17,8.26362162162162,2014
2014-11-18,8.2980625,2014
2014-11-19,8.37503571428571,2014
2014-11-20,8.60179166666667,2014
2014-11-21,8.59658333333333,2014
2014-11-22,8.03120833333333,2014
2014-11-23,8.12504166666667,2014
2014-11-24,8.05225,2014
2014-11-25,8.15883333333333,2014
2014-11-26,8.19525,2014
2014-11-27,8.40794117647059,2014
2014-12-02,7.33480434782609,2014
2014-12-03,7.11708,2014
2014-12-08,7.3246,2014
2014-12-09,7.054625,2014
2014-12-10,6.304625,2014
2015-01-16,6.71875,2015
2015-01-17,6.49604166666667,2015
2015-01-18,7.0843,2015
2015-05-28,18.8876,2015
2015-05-29,17.6745416666667,2015
2015-05-30,17.9973333333333,2015
2015-05-31,18.278625,2015
2015-06-01,18.104125,2015
2015-06-02,16.8724166666667,2015
2015-06-03,17.5469166666667,2015
2015-06-04,18.2030416666667,2015
2015-06-05,17.8438333333333,2015
2015-06-06,19.17975,2015
2015-06-07,19.9740833333333,2015
2015-06-08,20.5494583333333,2015
2015-06-09,20.6535416666667,2015
2015-06-10,20.2890416666667,2015
2015-06-11,19.6196666666667,2015
2015-06-12,19.242125,2015
