"date","sproat","year"
2014-10-14,18.1432916666667,2014
2014-10-15,17.9247083333333,2014
2014-10-16,17.6849565217391,2014
2014-10-17,17.4348333333333,2014
2014-10-18,17.1955,2014
2014-10-19,17,2014
2014-10-20,16.7422916666667,2014
2014-10-21,16.3254583333333,2014
2014-10-22,15.7707916666667,2014
2014-10-23,15.33325,2014
2014-10-24,15.07525,2014
2014-10-25,14.7970833333333,2014
2014-10-26,14.5233333333333,2014
2014-10-27,14.2994166666667,2014
2014-10-28,13.8593333333333,2014
2014-10-29,13.9585,2014
2014-10-30,13.7499583333333,2014
2014-10-31,13.6930416666667,2014
2014-11-01,13.528625,2014
2014-11-02,13.361875,2014
2014-11-03,13.2004583333333,2014
2014-11-04,13.2837916666667,2014
2014-11-05,13.1432083333333,2014
2014-11-06,13.00775,2014
2014-11-07,13.0652916666667,2014
2014-11-08,12.812375,2014
2014-11-09,12.703375,2014
2014-11-10,12.5130416666667,2014
2014-11-11,12.0000416666667,2014
2014-11-12,11.52075,2014
2014-11-13,11.2344583333333,2014
2014-11-14,11.0388333333333,2014
2014-11-15,10.7732916666667,2014
2014-11-16,10.5180416666667,2014
2014-11-17,10.3200416666667,2014
2014-11-18,10.17225,2014
2014-11-19,10.0752083333333,2014
2014-11-20,10.0675416666667,2014
2014-11-21,10.0414166666667,2014
2014-11-22,9.93525,2014
2014-11-23,9.89075,2014
2014-11-24,6.68718181818182,2014
2014-11-25,9.2144375,2014
2014-11-26,9.67290625,2014
2014-11-27,9.67225,2014
2014-11-28,9.49216666666667,2014
2014-11-29,9.32683333333333,2014
2014-11-30,9.05516666666667,2014
2014-12-01,8.89160377358491,2014
2014-12-02,8.7655,2014
2014-12-03,8.65407692307692,2014
2014-12-04,8.47785714285714,2014
2014-12-05,8.417,2014
2014-12-06,8.382875,2014
2014-12-07,8.396,2014
2014-12-08,8.36130434782609,2014
2014-12-09,8.46883333333333,2014
2014-12-10,8.37818181818182,2014
2015-02-03,7.083,2015
2015-02-04,7.09108333333333,2015
2015-02-05,7.02841666666667,2015
2015-02-06,6.80673913043478,2015
2015-02-07,7.057125,2015
2015-02-08,7.12754166666667,2015
2015-02-09,7.34091666666667,2015
2015-02-10,7.32266666666667,2015
2015-02-11,7.31225,2015
2015-02-12,7.3565,2015
2015-02-13,7.481875,2015
2015-02-14,7.591,2015
2015-02-15,7.69008333333333,2015
2015-02-16,7.56516666666667,2015
2015-02-17,7.68229166666667,2015
2015-02-18,7.53908333333333,2015
2015-02-19,7.65875,2015
2015-02-20,7.93245833333333,2015
2015-02-21,7.77858333333333,2015
2015-02-22,7.778625,2015
2015-02-23,7.79429166666667,2015
2015-02-24,7.7605,2015
2015-02-25,7.82816666666667,2015
2015-02-26,7.940125,2015
2015-02-27,7.83591666666667,2015
2015-02-28,7.67975,2015
2015-03-01,7.56258333333333,2015
2015-03-02,7.67175,2015
2015-03-03,7.770875,2015
2015-03-04,7.903625,2015
2015-03-05,7.94270833333333,2015
2015-03-06,8.10941666666667,2015
2015-03-07,8.255125,2015
2015-03-08,8.44004166666667,2015
2015-03-09,8.25783333333333,2015
2015-03-10,8.5,2015
2015-03-11,7.78391666666667,2015
2015-03-12,7.85945833333333,2015
2015-03-13,8.30220833333333,2015
2015-03-14,8.80995833333333,2015
2015-03-15,8.716,2015
2015-03-16,8.724125,2015
2015-03-17,8.80995833333333,2015
2015-03-18,8.78133333333333,2015
2015-03-19,9.10425,2015
2015-03-20,8.63004166666667,2015
2015-03-21,9.07808333333333,2015
2015-03-22,9.020625,2015
2015-03-23,9.02973913043478,2015
2015-03-24,9.208375,2015
2015-03-25,9.17970833333333,2015
2015-03-26,9.67716666666667,2015
2015-03-27,9.65879166666667,2015
2015-03-28,9.19533333333333,2015
2015-03-29,8.63791666666667,2015
2015-03-30,9.16658333333333,2015
2015-03-31,9.599125,2015
2015-04-01,9.55475,2015
2015-04-02,9.84366666666667,2015
2015-04-03,9.71870833333333,2015
2015-04-04,9.690125,2015
2015-04-05,9.89320833333333,2015
2015-04-06,10.0704166666667,2015
2015-04-07,10.247375,2015
2015-04-08,10.4297083333333,2015
2015-04-09,10.8437083333333,2015
2015-04-10,10.4010833333333,2015
2015-04-11,10.7474166666667,2015
2015-04-12,10.7318333333333,2015
2015-04-13,10.755125,2015
2015-04-14,10.958375,2015
2015-04-15,10.9713333333333,2015
2015-04-16,11.2682083333333,2015
2015-04-17,11.2239166666667,2015
2015-04-18,11.2759166666667,2015
2015-04-19,11.4739166666667,2015
2015-04-20,12.3645,2015
2015-04-21,13.1094583333333,2015
2015-04-22,12.6717916666667,2015
2015-04-23,12.7238333333333,2015
2015-04-24,12.5286666666667,2015
2015-04-25,12.9973333333333,2015
2015-04-26,12.9870416666667,2015
2015-04-27,13.0807083333333,2015
2015-04-28,13.6405416666667,2015
2015-04-29,13.7109166666667,2015
2015-04-30,13.4714166666667,2015
2015-05-01,13.765625,2015
2015-05-02,13.8412916666667,2015
2015-05-03,13.86975,2015
2015-05-04,14.3072916666667,2015
2015-05-05,14.479125,2015
2015-05-06,14.5963333333333,2015
2015-05-07,14.6121666666667,2015
2015-05-08,14.9322916666667,2015
2015-05-09,15.8697916666667,2015
2015-05-10,16.8255416666667,2015
2015-05-11,17.182375,2015
2015-05-12,17.263125,2015
2015-05-13,17.35675,2015
2015-05-14,17.072875,2015
2015-05-15,16.9817916666667,2015
2015-05-16,17.276125,2015
2015-05-17,17.2657083333333,2015
2015-05-18,17.4895833333333,2015
2015-05-19,18.591125,2015
2015-05-20,18.8567083333333,2015
2015-05-21,19.789125,2015
2015-05-22,19.8385833333333,2015
2015-05-23,18.270875,2015
2015-05-24,19.0807083333333,2015
2015-05-25,20.11475,2015
2015-05-26,20.5078333333333,2015
2015-05-27,20.3022083333333,2015
2015-05-28,20.7421666666667,2015
2015-05-29,22.1380833333333,2015
2015-05-30,21.8569166666667,2015
2015-05-31,20.9271666666667,2015
2015-06-01,20.4270416666667,2015
2015-06-02,20.25525,2015
2015-06-03,19.8880416666667,2015
2015-06-04,20.8514583333333,2015
2015-06-05,21.5207916666667,2015
2015-06-06,21.125,2015
2015-06-07,21.5625416666667,2015
2015-06-08,21.9975,2015
2015-06-09,20.9479166666667,2015
2015-06-10,21.317625,2015
2015-06-11,21.40625,2015
2015-06-12,21.8202916666667,2015
2015-06-13,21.15625,2015
2015-06-14,21.2213333333333,2015
2015-06-15,21.6483333333333,2015
2015-06-16,22.59375,2015
2015-06-17,22.6224166666667,2015
2015-06-18,22.1482916666667,2015
2015-06-19,21.747375,2015
2015-06-20,21.4895833333333,2015
2015-06-21,21.38025,2015
2015-06-22,22.395875,2015
2015-06-23,22.5597826086957,2015
2015-06-24,22.2683333333333,2015
2015-06-25,22.1276666666667,2015
2015-06-26,23.487,2015
2015-06-27,24.04675,2015
2015-06-28,23.50775,2015
2015-06-29,23.5467916666667,2015
2015-06-30,24.559875,2015
2015-07-01,23.3696666666667,2015
2015-07-02,24.6276666666667,2015
2015-07-03,24.2005416666667,2015
2015-07-04,24.010375,2015
2015-07-05,23.5079166666667,2015
2015-07-06,23.4609166666667,2015
2015-07-07,22.9322916666667,2015
2015-07-08,23.591125,2015
2015-07-09,23.9114583333333,2015
2015-07-10,23.1822083333333,2015
2015-07-11,23.3724166666667,2015
2015-07-12,22.8646666666667,2015
2015-07-13,23.0989583333333,2015
2015-07-14,23.8307083333333,2015
2015-07-15,23.614625,2015
2015-07-16,23.5051666666667,2015
2015-07-17,23.25525,2015
2015-07-18,23.7864583333333,2015
2015-07-19,24.4713333333333,2015
2015-07-20,24.7655833333333,2015
2015-07-21,23.763125,2015
2015-07-22,23.2213333333333,2015
2015-07-23,23.18225,2015
2015-07-24,23.109375,2015
2015-07-25,22.64325,2015
2015-07-26,22.5443333333333,2015
2015-07-27,22.7212916666667,2015
2015-07-28,23.2265,2015
2015-07-29,23.94275,2015
2015-07-30,24.3177083333333,2015
2015-07-31,24.6953333333333,2015
2015-08-01,24.6484583333333,2015
2015-08-02,23.94275,2015
2015-08-03,24.2526666666667,2015
2015-08-04,23.409,2015
2015-08-05,23.020875,2015
2015-08-06,23.2707916666667,2015
2015-08-07,23.6639583333333,2015
2015-08-08,23.30975,2015
2015-08-09,22.775875,2015
2015-08-10,23.1120833333333,2015
2015-08-11,23.66925,2015
2015-08-12,23.8047916666667,2015
2015-08-13,23.8671666666667,2015
2015-08-14,23.5963333333333,2015
2015-08-15,23.4557083333333,2015
2015-08-16,23.1821666666667,2015
2015-08-17,23.211,2015
2015-08-18,23.4947916666667,2015
2015-08-19,23.4191666666667,2015
2015-08-20,23.00775,2015
2015-08-21,23.4922083333333,2015
2015-08-22,23.3202916666667,2015
2015-08-23,23.5260416666667,2015
2015-08-24,23.2528260869565,2015
2015-08-25,23.065125,2015
2015-08-26,23.013,2015
2015-08-27,22.9112916666667,2015
2015-08-28,22.8724583333333,2015
2015-08-29,22.4035833333333,2015
2015-08-30,22.0488260869565,2015
2015-08-31,21.7840833333333,2015
2015-09-01,21.4634583333333,2015
2015-09-02,21.1301666666667,2015
2015-09-03,20.8645416666667,2015
2015-09-04,20.8515,2015
2015-09-05,20.7056666666667,2015
2015-09-06,20.497375,2015
2015-09-07,20.2995833333333,2015
2015-09-08,20.5053333333333,2015
2015-09-09,20.76825,2015
2015-09-10,21.1796666666667,2015
2015-09-11,21.330875,2015
2015-09-12,21.4428333333333,2015
2015-09-13,20.7969583333333,2015
2015-09-14,20.2474583333333,2015
2015-09-15,20.0573333333333,2015
2015-09-16,19.888,2015
2015-09-17,19.7996666666667,2015
2015-09-18,19.6275,2015
2015-09-19,19.5938333333333,2015
2015-09-20,19.5911666666667,2015
2015-09-21,19.387875,2015
2015-09-22,19.2579583333333,2015
2015-09-23,19.01825,2015
2015-09-24,18.7474166666667,2015
2015-09-25,18.6664583333333,2015
2015-09-26,18.6040833333333,2015
2015-09-27,18.3645416666667,2015
2015-09-28,18.3046666666667,2015
2015-09-29,18.3594583333333,2015
