date,site,depth,salinity,temp,pH,do_mgl,do_sat
25-May,Polly's Point 2,0,0.67,13.01,,9.04,0.888479781
25-May,Polly's Point 2,1,0.67,12.97,,9.48,0.930923061
25-May,Polly's Point 2,2,0.75,12.94,,9.82,0.964119976
25-May,Polly's Point 2,3,4.47,12.93,,9.62,0.964379273
25-May,Polly's Point 2,4,23.04,11,,8.69,0.934196413
25-May,Polly's Point 2,5,29.39,10.01,,8.41,0.921440182
25-May,Polly's Point 2,6,29.43,9.94,,7.93,0.867682845
25-May,Polly's Point 2,7,29.76,9.86,,7.74,0.847199952
25-May,Polly's Point 2,8,29.96,9.74,,7.53,0.823034029
25-May,Polly's Point 2,9,30.55,9.67,,7.06,0.773470374
25-May,Polly's Point 2,10,30.66,9.66,,6.73,0.737691587
25-May,Polly's Point 2,12,30.93,9.62,,5.56,0.609988665
25-May,Polly's Point 2,15,31.3,9.52,,4.87,0.534382676
25-May,Polly's Point 2,20,31.73,9.51,,3.63,0.399386312
25-May,Polly's Point 2,25,31.83,9.5,,3.14,0.345628637
12-Jan,5km Center,0,2.22,4.47,,12.83,103.80%
12-Jan,5km Center,1,4.13,4.79,,12.68,104.60%
12-Jan,5km Center,2,6.61,5.56,,12.2,104.20%
12-Jan,5km Center,3,11.15,6.21,,11.42,101.80%
12-Jan,5km Center,4,16.07,7.07,,10.49,98.40%
12-Jan,5km Center,5,18.81,7.65,,9.07,87.80%
12-Jan,5km Center,6,27.54,9.14,,8.11,86.00%
12-Jan,5km Center,7,28.15,9.11,,7.68,81.70%
12-Jan,5km Center,8,28.49,9.3,,7.66,82.10%
12-Jan,5km Center,9,28.59,9.34,,7.53,80.80%
12-Jan,5km Center,10,29.89,10.27,,6.66,73.70%
12-Jan,5km Center,12,30.16,10.46,,6.21,69.10%
12-Jan,5km Center,15,30.54,10.74,,5.42,60.80%
12-Jan,Polly's Point 2,0,1.36,4.25,,13.24,106.00%
12-Jan,Polly's Point 2,1,1.7,4.32,,13.19,106.00%
12-Jan,Polly's Point 2,2,6.73,5.33,,12.34,104.80%
12-Jan,Polly's Point 2,3,10.03,6.02,,11.35,100.00%
12-Jan,Polly's Point 2,4,12.67,6.42,,10.73,97.00%
12-Jan,Polly's Point 2,5,23.94,8.43,,8.45,86.10%
12-Jan,Polly's Point 2,6,26.98,9.21,,6.4,67.70%
12-Jan,Polly's Point 2,7,27.89,9.28,,6.92,73.80%
12-Jan,Polly's Point 2,8,28.79,9.53,,6.96,75.10%
12-Jan,Polly's Point 2,9,29.14,9.7,,7.01,76.10%
12-Jan,Polly's Point 2,10,29.9,10.43,,5.76,63.90%
12-Jan,Polly's Point 2,12,30.44,10.44,,5.56,62.00%
12-Jan,River/Outfall,River:,0.02,3.87,,12.49,98.30%
12-Jan,River/Outfall,0,2.01,4.54,,12.3,99.60%
12-Jan,River/Outfall,1,4.34,4.84,,12.14,100.40%
12-Jan,River/Outfall,2,6.54,5.29,,12,101.70%
12-Jan,River/Outfall,3,9.06,5.88,,10.85,94.70%
12-Jan,River/Outfall,4,14.03,6.73,,9.25,85.00%
12-Jan,River/Outfall,5,22.18,8.51,,9.66,97.50%
12-Jan,River/Outfall,6,27.54,9.29,,7.94,84.50%
12-Jan,River/Outfall,7,28.13,9.51,,7.47,80.20%
12-Jan,River/Outfall,8,28.62,9.67,,7.12,77.00%
12-Jan,River/Outfall,9,28.98,10.02,,6.81,74.40%
12-Jan,Hohm Island 2,0,2.75,4.72,,12.52,102.30%
12-Jan,Hohm Island 2,1,2.74,4.87,,12.66,103.90%
12-Jan,Hohm Island 2,2,8.42,5.7,,11.98,103.70%
12-Jan,Hohm Island 2,3,11.92,6.42,,11.32,101.90%
12-Jan,Hohm Island 2,4,14.37,7.07,,10.45,97.00%
12-Jan,Hohm Island 2,5,21.72,8.48,,8.86,89.10%
12-Jan,Hohm Island 2,6,25.99,8.76,,7.86,81.80%
12-Jan,Hohm Island 2,7,27.76,9.45,,7.42,79.40%
12-Jan,Hohm Island 2,8,28.68,9.76,,6.95,75.40%
12-Jan,Hohm Island 2,9,28.84,9.87,,6.73,73.20%
12-Jan,Hohm Island 2,10,29.18,9.98,,6.52,71.30%
12-Jan,Hohm Island 2,12,29.84,10.43,,6.26,69.50%
19-Jan,5km Center,0,2.86,5.4,,12.04,100.20%
19-Jan,5km Center,1,3.51,5.59,,12.1,101.60%
19-Jan,5km Center,2,14.27,7.06,,11.28,104.70%
19-Jan,5km Center,3,19.2,7.65,,10.23,99.30%
19-Jan,5km Center,4,26.06,8.42,,9.13,94.30%
19-Jan,5km Center,5,27.76,8.7,,8.67,91.10%
19-Jan,5km Center,6,28.03,8.75,,8.52,89.80%
19-Jan,5km Center,7,28.11,8.78,,8.4,88.70%
19-Jan,5km Center,8,28.28,8.93,,8.31,88.10%
19-Jan,5km Center,9,28.49,9.2,,8.12,86.80%
19-Jan,5km Center,10,28.72,9.21,,7.85,84.10%
19-Jan,5km Center,12,29.64,9.18,,7.65,82.40%
19-Jan,5km Center,15,29.16,9.39,,7.57,81.60%
19-Jan,5km Center,20,32.37,9.79,,7.31,81.30%
19-Jan,5km Center,25,30.47,10.56,,6.82,76.20%
19-Jan,5km Center,30,30.79,10.73,,5.32,59.80%
19-Jan,5km Center,35,31.97,10.6,,4.29,48.50%
19-Jan,5km Center,40,31.17,10.56,,3.81,42.80%
19-Jan,5km Center,45,31.27,10.47,,3.57,40.00%
19-Jan,5km Center,50,31.37,10.44,,3.43,38.50%
19-Jan,Polly's Point 2,0,2.78,5.48,,11.22,93.50%
19-Jan,Polly's Point 2,1,3.75,5.59,,11.76,98.80%
19-Jan,Polly's Point 2,2,8.22,6.17,,11.73,102.70%
19-Jan,Polly's Point 2,3,23.2,8.13,,9.51,95.70%
19-Jan,Polly's Point 2,4,26.75,8.71,,8.79,91.80%
19-Jan,Polly's Point 2,5,27.56,8.79,,8.39,88.30%
19-Jan,Polly's Point 2,6,27.73,8.92,,8.27,87.40%
19-Jan,Polly's Point 2,7,28.16,8.94,,8.11,86.00%
19-Jan,Polly's Point 2,8,28.37,9.16,,7.99,85.30%
19-Jan,Polly's Point 2,9,28.6,9.2,,7.7,82.40%
19-Jan,Polly's Point 2,10,28.79,9.32,,7.56,81.20%
19-Jan,Polly's Point 2,12,29.32,9.59,,7.36,79.80%
19-Jan,Polly's Point 2,15,30.08,9.92,,7.01,77.00%
19-Jan,River/Outfall,River:,0.02,4.81,,12.65,102.00%
19-Jan,River/Outfall,0,2.25,6.16,,12.17,102.90%
19-Jan,River/Outfall,1,2.93,5.8,,12.33,103.70%
19-Jan,River/Outfall,2,6.5,6.04,,12.09,104.40%
19-Jan,River/Outfall,3,19.33,7.69,,10.67,103.70%
19-Jan,River/Outfall,4,27.1,8.92,,9.29,97.70%
19-Jan,River/Outfall,5,27.6,9.07,,8.79,93.10%
19-Jan,River/Outfall,6,27.96,9.19,,8.29,88.30%
19-Jan,River/Outfall,7,28.23,9.19,,7.9,84.30%
19-Jan,River/Outfall,8,28.5,9.28,,7.65,81.90%
19-Jan,River/Outfall,9,28.6,9.32,,7.46,80.00%
19-Jan,River/Outfall,10,28.71,9.38,,7.3,78.50%
19-Jan,Hohm Island 2,0,2.44,5.39,,12.22,101.40%
19-Jan,Hohm Island 2,1,3.79,5.55,,12.2,102.50%
19-Jan,Hohm Island 2,2,9.84,6.42,,11.61,103.20%
19-Jan,Hohm Island 2,3,22.38,8.16,,10.31,103.30%
19-Jan,Hohm Island 2,4,26.18,8.9,,9.15,95.60%
19-Jan,Hohm Island 2,5,27.78,9.16,,8.76,93.10%
19-Jan,Hohm Island 2,6,28.24,9.21,,8.32,88.80%
19-Jan,Hohm Island 2,7,28.48,9.19,,8.06,86.10%
19-Jan,Hohm Island 2,8,28.64,9.27,,7.83,83.90%
19-Jan,Hohm Island 2,9,28.83,9.38,,7.65,82.30%
19-Jan,Hohm Island 2,10,28.89,9.43,,7.45,80.30%
19-Jan,Hohm Island 2,12,29.15,9.85,,7.17,78.10%
19-Jan,Hohm Island 2,15,29.46,9.95,,6.7,73.30%
26-Jan,River/Outfall,River:,0.18,4.27,,13.44,107.00%
26-Jan,River/Outfall,0,10.41,6.58,,11.28,101.00%
26-Jan,River/Outfall,1,11.44,6.4,,11.19,100.40%
26-Jan,River/Outfall,2,23.02,8.01,,9.56,95.90%
26-Jan,River/Outfall,3,26.75,8.72,,8.68,90.70%
26-Jan,River/Outfall,4,28.19,8.12,,7.95,82.70%
26-Jan,River/Outfall,5,28.42,9.25,,7.62,81.50%
26-Jan,River/Outfall,6,28.74,9.35,,7.3,78.40%
26-Jan,River/Outfall,7,28.81,9.48,,7.11,76.70%
26-Jan,River/Outfall,8,29.1,9.68,,6.74,73.10%
26-Jan,River/Outfall,9,29.29,9.79,,6.33,69.00%
26-Jan,River/Outfall,10,29.58,10.06,,5.95,65.30%
26-Jan,Hohm Island 2,0,6.61,5.24,,11.64,98.60%
26-Jan,Hohm Island 2,1,12.47,6.48,,11.15,100.90%
26-Jan,Hohm Island 2,2,20.43,7.63,,10.17,99.40%
26-Jan,Hohm Island 2,3,26.89,8.72,,9.14,95.60%
26-Jan,Hohm Island 2,4,28.12,9.17,,8.67,92.40%
26-Jan,Hohm Island 2,5,28.64,9.3,,7.92,84.90%
26-Jan,Hohm Island 2,6,28.87,9.45,,9.48,102.20%
26-Jan,Hohm Island 2,7,28.97,9.57,,7.1,76.80%
26-Jan,Hohm Island 2,8,29.26,9.8,,6.65,72.40%
26-Jan,Hohm Island 2,9,29.45,9.89,,6.36,69.50%
26-Jan,Hohm Island 2,10,29.5,10.02,,5.73,62.80%
26-Jan,Hohm Island 2,12,29.83,10.18,,5.37,59.20%
26-Jan,Hohm Island 2,15,30.26,10.43,,4.97,55.30%
2-Feb,River/Outfall,River:,0.02,4.14,,12.63,100.10%
2-Feb,River/Outfall,0,4.59,5.2,,11.91,99.60%
2-Feb,River/Outfall,1,14.68,6.47,,11.07,101.50%
2-Feb,River/Outfall,2,21.82,7.47,,10.24,100.60%
2-Feb,River/Outfall,3,25.15,8.37,,9.69,99.40%
2-Feb,River/Outfall,4,28.12,8.92,,8.95,94.80%
2-Feb,River/Outfall,5,28.35,9.06,,8.55,91.00%
2-Feb,River/Outfall,6,28.45,9.14,,8.11,86.50%
2-Feb,River/Outfall,7,28.83,9.43,,7.59,81.70%
2-Feb,River/Outfall,8,29.12,9.58,,7.15,77.40%
2-Feb,River/Outfall,9,29.23,9.6,,6.83,74.00%
2-Feb,Polly's Point 2,0,2.62,4.14,,11.46,92.20%
2-Feb,Polly's Point 2,1,5.04,4.84,,12.2,101.30%
2-Feb,Polly's Point 2,2,12.38,6.06,,11.05,98.90%
2-Feb,Polly's Point 2,3,24.05,7.82,,9.8,98.50%
2-Feb,Polly's Point 2,4,25.74,8.33,,9.13,93.90%
2-Feb,Polly's Point 2,5,26.98,8.43,,8.49,88.20%
2-Feb,Polly's Point 2,6,28.17,8.84,,8.29,87.70%
2-Feb,Polly's Point 2,7,28.7,9.11,,8.11,86.60%
2-Feb,Polly's Point 2,8,28.77,9.19,,7.75,83.00%
2-Feb,Polly's Point 2,9,29.06,9.44,,7.41,79.90%
2-Feb,Polly's Point 2,10,29.19,9.62,,6.08,65.90%
2-Feb,Polly's Point 2,12,29.95,9.81,,5.68,62.20%
2-Feb,Polly's Point 2,15,29.86,10.11,,5.42,59.70%
2-Feb,Polly's Point 2,20,30.36,10.52,,3.02,33.70%
2-Feb,5km Center,0,3.88,4.6,,12.37,101.40%
2-Feb,5km Center,1,8.13,5.51,,11.9,102.40%
2-Feb,5km Center,2,8.54,5.52,,11.93,102.90%
2-Feb,5km Center,3,21.27,7.21,,10.48,101.90%
2-Feb,5km Center,4,25.77,8.29,,9.113,93.60%
2-Feb,5km Center,5,27.4,8.61,,8.68,90.80%
2-Feb,5km Center,6,28.62,8.92,,8.19,87.00%
2-Feb,5km Center,7,28.69,8.94,,8.07,85.80%
2-Feb,5km Center,8,28.91,9.09,,7.92,84.70%
2-Feb,5km Center,9,29.04,9.19,,7.71,82.70%
2-Feb,5km Center,10,29.24,9.32,,7.47,80.50%
2-Feb,5km Center,12,29.51,9.65,,7.2,78.30%
2-Feb,5km Center,15,29.83,10.05,,6.66,73.30%
2-Feb,5km Center,20,30.47,10.48,,5.9,65.80%
2-Feb,5km Center,25,30.86,10.55,,4.15,46.50%
2-Feb,5km Center,30,30.94,10.55,,3.94,44.20%
11-Feb,River/Outfall,River:,0.09,4.96,,12.57,101.80%
11-Feb,River/Outfall,0,5.27,6.22,,10.97,94.50%
11-Feb,River/Outfall,1,6.63,6.24,,11.22,97.50%
11-Feb,River/Outfall,2,22.37,8.08,,9.72,97.20%
11-Feb,River/Outfall,3,26.77,8.96,,8.68,91.20%
11-Feb,River/Outfall,4,28.77,9.53,,7.35,79.30%
11-Feb,River/Outfall,5,29.64,10.01,,6.57,72.10%
11-Feb,River/Outfall,6,29.83,10.17,,5.76,63.50%
11-Feb,River/Outfall,7,30.3,10.4,,4.59,51.10%
11-Feb,River/Outfall,8,30.47,10.52,,3.85,43.00%
11-Feb,River/Outfall,9,30.64,10.55,,2.94,32.90%
11-Feb,Hohm Island 2,0,4.85,6.19,,11.56,99.30%
11-Feb,Hohm Island 2,1,5.1,6.37,,11.65,100.70%
11-Feb,Hohm Island 2,2,14.21,7.32,,10.51,98.10%
11-Feb,Hohm Island 2,3,28.32,9.4,,7.6,81.50%
11-Feb,Hohm Island 2,4,29.28,9.77,,6.86,74.70%
11-Feb,Hohm Island 2,5,29.45,9.93,,5.91,64.70%
11-Feb,Hohm Island 2,6,29.97,10.22,,5.1,56.40%
11-Feb,Hohm Island 2,7,30.31,10.39,,4.71,52.40%
11-Feb,Hohm Island 2,8,30.58,10.54,,4.17,46.60%
11-Feb,Hohm Island 2,9,30.77,10.59,,3.46,38.80%
11-Feb,Hohm Island 2,10,30.85,10.58,,3.01,33.70%
11-Feb,Hohm Island 2,12,31.12,10.55,,2.67,30.00%
11-Feb,Hohm Island 2,15,31.4,10.5,,2.42,27.20%
11-Feb,Polly's Point 2,0,3.07,5.61,,11.67,97.80%
11-Feb,Polly's Point 2,1,4.92,5.99,,11.99,102.50%
11-Feb,Polly's Point 2,2,16.16,7.48,,9.52,90.30%
11-Feb,Polly's Point 2,3,28.64,9.5,,7.58,81.70%
11-Feb,Polly's Point 2,4,29.84,10.12,,6.92,76.20%
11-Feb,Polly's Point 2,5,30.25,10.41,,5.61,62.40%
11-Feb,Polly's Point 2,6,30.38,10.54,,4.61,51.50%
11-Feb,Polly's Point 2,7,30.51,10.57,,3.87,43.30%
11-Feb,Polly's Point 2,8,30.73,10.58,,3.27,36.60%
11-Feb,Polly's Point 2,9,30.85,10.56,,2.95,33.10%
11-Feb,Polly's Point 2,10,30.91,10.55,,2.52,28.20%
11-Feb,Polly's Point 2,12,30.97,10.51,,2.57,28.80%
11-Feb,Polly's Point 2,15,31.16,10.47,,2.62,29.40%
11-Feb,Polly's Point 2,20,31.28,10.37,,2.61,29.20%
11-Feb,5km Center,0,4.27,6.34,,11.89,102.20%
11-Feb,5km Center,1,9.02,6.62,,11.45,101.80%
11-Feb,5km Center,2,16.06,7.9,,10.58,101.30%
11-Feb,5km Center,3,28.11,9.22,,8.59,91.60%
11-Feb,5km Center,4,29.43,9.81,,7.24,79.00%
11-Feb,5km Center,5,29.73,10.04,,5.98,65.70%
11-Feb,5km Center,6,30.22,10.4,,5.08,56.50%
11-Feb,5km Center,7,30.38,10.51,,3.89,43.40%
11-Feb,5km Center,8,30.64,10.52,,3.37,37.70%
11-Feb,5km Center,9,30.81,10.49,,3.29,36.80%
11-Feb,5km Center,10,30.89,10.55,,3.28,36.80%
11-Feb,5km Center,12,30.91,10.43,,3.21,35.90%
11-Feb,5km Center,15,31.12,10.4,,3.26,36.50%
11-Feb,5km Center,20,31.28,10.33,,3.18,35.50%
11-Feb,5km Center,25,31.28,10.26,,3.04,33.90%
11-Feb,5km Center,30,31.43,10.17,,2.98,33.20%
11-Feb,5km Center,35,31.61,10.09,,3.08,34.30%
11-Feb,5km Center,40,32.41,10.09,,3.09,34.60%
16-Feb,River/Outfall,River:,0.02,4.92,,12.64,102.20%
16-Feb,River/Outfall,0,3.8,6.3,,11.78,100.80%
16-Feb,River/Outfall,1,8.52,6.76,,10.97,97.60%
16-Feb,River/Outfall,2,17.56,8.18,,8.75,85.10%
16-Feb,River/Outfall,3,25.79,9.11,,7.69,80.60%
16-Feb,River/Outfall,4,28.62,9.9,,7.07,76.90%
16-Feb,River/Outfall,5,30.12,10.38,,5.91,65.60%
16-Feb,River/Outfall,6,30.59,10.57,,4.37,48.90%
16-Feb,River/Outfall,7,30.78,10.59,,2.92,32.70%
16-Feb,River/Outfall,8,30.97,10.56,,2.38,26.70%
16-Feb,River/Outfall,9,31.01,10.55,,2.03,22.80%
16-Feb,River/Outfall,10,31.06,10.52,,1.88,21.10%
16-Feb,Hohm Island 2,0,5.58,5.88,,11.23,96.10%
16-Feb,Hohm Island 2,1,9.5,6.95,,10.93,98.30%
16-Feb,Hohm Island 2,2,21.24,8.55,,8.57,86.10%
16-Feb,Hohm Island 2,3,25.38,9.3,,7.7,80.80%
16-Feb,Hohm Island 2,4,27.95,9.77,,6.62,71.40%
16-Feb,Hohm Island 2,5,28.7,9.98,,5.91,64.40%
16-Feb,Hohm Island 2,6,30.07,10.4,,5.31,59.00%
16-Feb,Hohm Island 2,7,30.36,10.53,,4.57,51.00%
16-Feb,Hohm Island 2,8,30.74,10.63,,3.6,40.40%
16-Feb,Hohm Island 2,9,30.81,10.62,,3.02,33.90%
16-Feb,Hohm Island 2,10,31.01,10.56,,2.55,28.60%
16-Feb,Hohm Island 2,12,31.14,10.46,,2.18,24.40%
16-Feb,Hohm Island 2,15,31.3,10.33,,2.18,24.40%
16-Feb,Polly's Point 2,0,3.79,5.72,,12.15,102.50%
16-Feb,Polly's Point 2,1,6.42,6.32,,11.84,102.90%
16-Feb,Polly's Point 2,2,16.53,7.77,,9.75,93.30%
16-Feb,Polly's Point 2,3,27.65,9.62,,7.94,85.20%
16-Feb,Polly's Point 2,4,29.38,10.08,,6.38,70.00%
16-Feb,Polly's Point 2,5,29.91,10.32,,5.54,61.30%
16-Feb,Polly's Point 2,6,29.81,10.28,,4.83,53.40%
16-Feb,Polly's Point 2,7,30.59,10.62,,3.71,41.60%
16-Feb,Polly's Point 2,8,30.75,10.62,,2.97,33.30%
16-Feb,Polly's Point 2,9,30.86,10.6,,2.56,28.70%
16-Feb,Polly's Point 2,10,30.97,10.56,,2.57,28.80%
16-Feb,Polly's Point 2,12,31.14,10.44,,2.43,27.20%
16-Feb,Polly's Point 2,15,31.61,10.39,,2.27,25.50%
16-Feb,Polly's Point 2,20,31.97,10.24,,2.26,25.30%
2-Mar,River/Outfall,River:,0.03,4.44,,12.19,
2-Mar,River/Outfall,0,2.17,5.7,,12.29,
2-Mar,River/Outfall,1,3.04,5.63,,12.29,
2-Mar,River/Outfall,2,7.49,6.22,,11.73,
2-Mar,River/Outfall,3,13.87,7.28,,9.8,
2-Mar,River/Outfall,4,28.93,10.02,,7.32,
2-Mar,River/Outfall,5,30.73,10.49,,5.2,
2-Mar,River/Outfall,6,30.96,10.51,,4.18,
2-Mar,River/Outfall,7,31.13,10.55,,3.04,
2-Mar,River/Outfall,8,31.26,10.4,,2.72,
2-Mar,River/Outfall,9,31.45,10.32,,2.45,
2-Mar,River/Outfall,10,31.38,10.31,,2.2,
2-Mar,Hohm Island 2,0,3.78,5.69,,10.69,
2-Mar,Hohm Island 2,1,5.83,6.04,,11.11,
2-Mar,Hohm Island 2,2,7.04,6.19,,11.26,
2-Mar,Hohm Island 2,3,19.6,8.32,,10.03,
2-Mar,Hohm Island 2,4,30.26,10.38,,8.17,
2-Mar,Hohm Island 2,5,31.01,10.51,,6.97,
2-Mar,Hohm Island 2,6,31.25,10.46,,3.85,
2-Mar,Hohm Island 2,7,31.26,10.38,,2.9,
2-Mar,Hohm Island 2,8,31.4,10.31,,2.46,
2-Mar,Hohm Island 2,9,31.48,10.21,,2.15,
2-Mar,Hohm Island 2,10,31.47,10.18,,1.89,
2-Mar,Hohm Island 2,12,31.67,10.1,,1.83,
2-Mar,Hohm Island 2,15,31.92,9.95,,1.85,
2-Mar,Polly's Point 2,0,4.15,5.55,,11.26,
2-Mar,Polly's Point 2,1,5.95,5.92,,11.59,
2-Mar,Polly's Point 2,2,12.9,7.31,,10.88,
2-Mar,Polly's Point 2,3,21.85,8.5,,9.48,
2-Mar,Polly's Point 2,4,29.71,10.37,,7.79,
2-Mar,Polly's Point 2,5,30.41,10.48,,5.91,
2-Mar,Polly's Point 2,6,30.9,10.46,,4.39,
2-Mar,Polly's Point 2,7,30.91,10.46,,3.76,
2-Mar,Polly's Point 2,8,31.09,10.45,,3.26,
2-Mar,Polly's Point 2,9,31.17,10.41,,2.8,
2-Mar,Polly's Point 2,10,31.22,10.41,,2.66,
2-Mar,Polly's Point 2,12,31.36,10.31,,2.2,
2-Mar,Polly's Point 2,15,31.49,10.07,,2.28,
2-Mar,Polly's Point 2,20,31.93,9.92,,2.83,
2-Mar,Polly's Point 2,25,33.52,9.844,,3.01,
11-Mar,River/Outfall,River:,0.1,5.34,,12.56,102.80%
11-Mar,River/Outfall,0,4.85,7.65,,10.66,94.90%
11-Mar,River/Outfall,1,15.68,7.42,,10.15,95.80%
11-Mar,River/Outfall,2,20.52,8.84,,10.01,100.80%
11-Mar,River/Outfall,3,29.62,10.24,,9.47,104.50%
11-Mar,River/Outfall,4,30.76,10.39,,8.68,96.80%
11-Mar,River/Outfall,5,31.09,10.39,,8.33,93.10%
11-Mar,River/Outfall,6,31.36,10.4,,7.19,80.50%
11-Mar,River/Outfall,7,31.63,10.36,,5.5,61.70%
11-Mar,River/Outfall,8,31.66,10.33,,4.51,50.50%
11-Mar,River/Outfall,9,31.86,10.29,,3.39,38.00%
11-Mar,River/Outfall,10,31.97,10.19,,2.6,29.10%
11-Mar,Hohm Island 2,0,4.09,6.53,,11.4,98.30%
11-Mar,Hohm Island 2,1,4.86,6.46,,11.53,99.70%
11-Mar,Hohm Island 2,2,18.55,8.59,,11,108.70%
11-Mar,Hohm Island 2,3,30.3,10.25,,10.24,113.50%
11-Mar,Hohm Island 2,4,30.89,10.26,,9.11,101.40%
11-Mar,Hohm Island 2,5,31.13,10.31,,6.95,77.60%
11-Mar,Hohm Island 2,6,31.56,10.39,,5.46,61.20%
11-Mar,Hohm Island 2,7,31.66,10.35,,4.33,48.50%
11-Mar,Hohm Island 2,8,31.75,10.36,,3.57,40.10%
11-Mar,Hohm Island 2,9,31.83,10.32,,2.92,32.80%
11-Mar,Hohm Island 2,10,31.95,10.26,,2.51,28.10%
11-Mar,Hohm Island 2,12,32.01,10.14,,2.13,23.80%
11-Mar,Hohm Island 2,15,32.08,10,,1.99,22.20%
11-Mar,Polly's Point 2,0,4.22,6.05,,11.57,98.70%
11-Mar,Polly's Point 2,1,4.75,6.12,,11.87,101.70%
11-Mar,Polly's Point 2,2,13.82,7.67,,11.27,105.80%
11-Mar,Polly's Point 2,3,29.4,10,,10.99,120.40%
11-Mar,Polly's Point 2,4,31.12,10.14,,10.68,118.70%
11-Mar,Polly's Point 2,5,31.38,10.17,,7.41,82.60%
11-Mar,Polly's Point 2,6,31.48,10.18,,6.26,69.80%
11-Mar,Polly's Point 2,7,31.7,10.33,,4.66,52.20%
11-Mar,Polly's Point 2,8,31.88,10.25,,3.87,43.40%
11-Mar,Polly's Point 2,9,31.8,10.18,,3.05,34.10%
11-Mar,Polly's Point 2,10,31.87,10.21,,2.85,31.90%
11-Mar,Polly's Point 2,12,32.04,10.14,,2.59,29.00%
11-Mar,Polly's Point 2,15,31.98,10.04,,2.55,28.50%
11-Mar,Polly's Point 2,20,32.09,9.94,,2.57,28.60%
11-Mar,Polly's Point 2,25,32.31,9.86,,2.42,26.90%
11-Mar,5km Center,0,3.94,5.82,,11.16,94.50%
11-Mar,5km Center,1,5.09,5.99,,11.52,98.60%
11-Mar,5km Center,2,21.3,8.95,,10.71,108.60%
11-Mar,5km Center,3,29.95,10.03,,10.57,116.30%
11-Mar,5km Center,4,30.91,10.12,,9.86,109.40%
11-Mar,5km Center,5,31.23,10.18,,8.61,95.90%
11-Mar,5km Center,6,31.52,10.17,,7.23,80.70%
11-Mar,5km Center,7,31.7,10.17,,5.75,64.20%
11-Mar,5km Center,8,31.76,10.16,,4.45,49.70%
11-Mar,5km Center,9,31.81,10.12,,3.95,44.10%
11-Mar,5km Center,10,31.94,10.13,,3.62,40.50%
11-Mar,5km Center,12,32.02,10.11,,3.24,36.20%
11-Mar,5km Center,15,32.05,10.02,,3.04,33.90%
11-Mar,5km Center,20,32.2,9.93,,3.13,34.90%
11-Mar,5km Center,25,32.24,9.84,,3.2,35.60%
11-Mar,5km Center,30,32.37,9.72,,3.17,35.20%
11-Mar,5km Center,35,32.41,9.67,,3.18,35.30%
11-Mar,5km Center,40,32.41,9.62,,3.18,35.20%
11-Mar,5km Center,45,32.42,9.59,,3.05,33.80%
11-Mar,5km Center,50,32.42,9.54,,3,33.20%
18-Mar,River/Outfall,River:,0.04,6.09,,10.37,86.50%
18-Mar,River/Outfall,0,1.63,7.12,,9.73,84.00%
18-Mar,River/Outfall,1,5.24,7.57,,9.84,87.60%
18-Mar,River/Outfall,2,26.88,9.05,,8.59,90.50%
18-Mar,River/Outfall,3,28.82,9.15,,8.54,91.40%
18-Mar,River/Outfall,4,29.54,9.3,,7.58,81.80%
18-Mar,River/Outfall,5,29.88,9.44,,7.32,79.40%
18-Mar,River/Outfall,6,30.34,9.58,,7.11,77.60%
18-Mar,River/Outfall,7,30.86,9.82,,6.86,75.60%
18-Mar,River/Outfall,8,31.49,10.18,,6.45,72.00%
18-Mar,River/Outfall,9,31.6,10.22,,5.84,65.30%
18-Mar,River/Outfall,10,31.5,10.22,,4.84,54.00%
18-Mar,Hohm Island 2,0,1.56,6.68,,10.2,87.00%
18-Mar,Hohm Island 2,1,4.4,7.1,,10.27,90.00%
18-Mar,Hohm Island 2,2,22.59,8.88,,8.99,91.80%
18-Mar,Hohm Island 2,3,27.36,9.05,,8.67,91.70%
18-Mar,Hohm Island 2,4,29.1,9.18,,8.52,91.40%
18-Mar,Hohm Island 2,5,30.19,9.53,,7.85,85.50%
18-Mar,Hohm Island 2,6,30.37,9.39,,7.66,83.30%
18-Mar,Hohm Island 2,7,30.42,9.38,,7.38,80.20%
18-Mar,Hohm Island 2,8,30.66,9.62,,7.2,78.80%
18-Mar,Hohm Island 2,9,31.35,10.08,,6.73,74.80%
18-Mar,Hohm Island 2,10,31.48,10.16,,5.35,59.70%
18-Mar,Hohm Island 2,12,31.76,10.25,,4.1,45.90%
18-Mar,Hohm Island 2,15,31.95,10.16,,3.31,37.00%
18-Mar,Polly's Point 2,0,1.05,6.5,10.58,10.58,89.60%
18-Mar,Polly's Point 2,1,2.87,6.94,,10.93,94.60%
18-Mar,Polly's Point 2,2,17.69,8.34,,9.8,95.80%
18-Mar,Polly's Point 2,3,28.67,9.04,,8.83,94.10%
18-Mar,Polly's Point 2,4,29.31,9.34,,8.43,90.90%
18-Mar,Polly's Point 2,5,29.88,9.31,,7.88,85.20%
18-Mar,Polly's Point 2,6,30.17,9.27,,7.64,82.70%
18-Mar,Polly's Point 2,7,30.21,9.18,,7.59,82.00%
18-Mar,Polly's Point 2,8,30.41,9.19,,7.56,81.80%
18-Mar,Polly's Point 2,9,30.43,9.19,,7.1,76.90%
18-Mar,Polly's Point 2,10,30.9,9.48,,6.95,76.00%
18-Mar,Polly's Point 2,12,31.33,9.9,,6.1,67.50%
18-Mar,Polly's Point 2,15,31.66,10.08,,4.85,54.00%
