"cu","Rmeas","year","enhanced","2.5%","10%","50%","90%","97.5%","line_y"
"Great Central","BYO",2010,"1",0.165997099200637,0.337154097900927,0.583854245865155,0.815188082452089,0.942055091809258,1.40689169297372
"Great Central","BYO",2011,"1",-0.229497187160605,-0.071655925107277,0.18054394456625,0.420329044149293,0.559388160352852,1.40689169297372
"Great Central","BYO",2012,"1",-0.301939007580821,-0.147256268602806,0.104872206423739,0.337856311166491,0.485237153299018,1.40689169297372
"Great Central","BYO",2013,"1",-0.831201908624636,-0.68322568468437,-0.414459364621917,-0.123716192532325,0.0537649388874776,1.40689169297372
"Great Central","BYO",2014,"1",-0.499085623933219,-0.332490623732596,-0.0587220190163373,0.212529598115279,0.373732970427704,1.40689169297372
"Great Central","BYO",2015,"1",-0.506663495455823,-0.338157833717129,-0.0666141814121497,0.194350406410524,0.346713708859227,1.40689169297372
"Great Central","BYO",2016,"1",-0.012762666847533,0.148846394429354,0.396557451957855,0.621245340345409,0.751321301457803,1.40689169297372
"Great Central","BYO",2017,"1",-0.344544228634751,-0.186313732056356,0.0669508452913901,0.317457557985654,0.467463389499274,1.40689169297372
"Great Central","BYO",2018,"1",-0.570659178108917,-0.395599899362607,-0.0846115424220022,0.235223044413251,0.421266495459148,1.40689169297372
"Great Central","BYO",2019,"1",-0.439449617299716,-0.245761001486001,0.0665455079132578,0.380248110171621,0.558040672440527,1.40689169297372
"Great Central","BYO",2020,"1",-0.67414513507307,-0.516006733471084,-0.258777493939066,0.00319201229034665,0.166314953176295,1.40689169297372
"Great Central","BYO",2021,"1",-0.653822549794762,-0.487774890203135,-0.221791655200825,0.0392675268091599,0.196687469427064,1.40689169297372
"Great Central","BYB",1978,"1",0.126600639302902,0.285452372695761,0.528998875372229,0.760487737953255,0.891561963804131,1.31034587358349
"Great Central","BYB",1979,"1",-0.106224941833723,0.0416798243655247,0.269532178587657,0.485549476328312,0.62153401883943,1.31034587358349
"Great Central","BYB",1980,"1",-0.398438314331393,-0.271442171618056,-0.0552650015957212,0.16470034893221,0.295524743375763,1.31034587358349
"Great Central","BYB",1981,"1",-0.115384615376647,0.0241455464021939,0.243352738161498,0.44144641567903,0.557635550621454,1.31034587358349
"Great Central","BYB",1982,"1",-0.341060918660636,-0.201211457392893,0.00721523138049029,0.225783579393685,0.353429022322221,1.31034587358349
"Great Central","BYB",1983,"1",-0.342985897738262,-0.203804781293732,0.0237594835416459,0.248346977925471,0.381919521131484,1.31034587358349
"Great Central","BYB",1984,"1",-0.315347101505521,-0.169546974109079,0.0537726244099339,0.270934163781857,0.406543882993889,1.31034587358349
"Great Central","BYB",1985,"1",-0.36092304228268,-0.222851400105697,0.00440183228954538,0.221924979083072,0.364484344905449,1.31034587358349
"Great Central","BYB",1986,"1",-0.2809867730833,-0.132166363824908,0.105470066611325,0.337973718506041,0.47565691953709,1.31034587358349
"Great Central","BYB",1987,"1",-0.542413448102,-0.399463809656188,-0.173446346226775,0.0663186317668348,0.210405436113675,1.31034587358349
"Great Central","BYB",1988,"1",-0.212703114568981,-0.0663115960808078,0.154991777444247,0.360954329036894,0.482533630671739,1.31034587358349
"Great Central","BYB",1989,"1",-0.543051475014472,-0.420912011550115,-0.225543797802379,-0.0271165695920285,0.102239298416669,1.31034587358349
"Great Central","BYB",1990,"1",-0.499891915442909,-0.34126076008559,-0.105503208360693,0.125530492480037,0.274098375578669,1.31034587358349
"Great Central","BYB",1991,"1",-0.616111275391042,-0.473999511216589,-0.245986549151008,-0.0211389621916193,0.107642630496837,1.31034587358349
"Great Central","BYB",1992,"1",-0.734492424483344,-0.590951896845421,-0.364237245587468,-0.130330532569393,0.0136694868176663,1.31034587358349
"Great Central","BYB",1993,"1",-0.513825284806503,-0.374473523613284,-0.159171842280317,0.0497215649435784,0.183657310545199,1.31034587358349
"Great Central","BYB",1994,"1",-0.396682094039088,-0.265307742948364,-0.0658056461522278,0.135917520997109,0.265673006089812,1.31034587358349
"Great Central","BYB",1995,"1",-0.242570377693219,-0.0948439276157803,0.165155472776624,0.431206033927697,0.59269117551398,1.31034587358349
"Great Central","BYB",1996,"1",-0.0655942303953,0.069098665332951,0.287537435897494,0.485690320610787,0.609159502549365,1.31034587358349
"Great Central","BYB",1997,"1",-0.561909725245161,-0.43180901164883,-0.225177077535838,-0.00530812734958626,0.136116793162219,1.31034587358349
"Great Central","BYB",1998,"1",-0.20657412301078,-0.0637438005653678,0.155310907742196,0.357222198359863,0.479323444799519,1.31034587358349
"Great Central","BYB",1999,"1",-0.816675415754889,-0.686100540974009,-0.470009357762569,-0.231146423462636,-0.0827325552545849,1.31034587358349
"Great Central","BYB",2000,"1",-0.272667571057473,-0.118346944624154,0.15302663650683,0.413515398805502,0.576331666597784,1.31034587358349
"Great Central","BYB",2001,"1",-0.491037159045297,-0.343969966991349,-0.0987068552353634,0.142971594010873,0.294240378279885,1.31034587358349
"Great Central","BYB",2002,"1",-0.488232585947076,-0.333291132041024,-0.0689343198746233,0.181437408341717,0.33991902892022,1.31034587358349
"Great Central","BYB",2003,"1",-0.674406002840031,-0.512988066906471,-0.255787981539077,0.0046288819614568,0.166538426226298,1.31034587358349
"Great Central","BYB",2004,"1",-0.905343541114958,-0.755147526606587,-0.509556689311166,-0.252320866530029,-0.0815880477817748,1.31034587358349
"Great Central","BYB",2005,"1",-0.761871682425282,-0.609836207116398,-0.374218214328208,-0.135336545011,0.0168734906009804,1.31034587358349
