"date","sensor","staff","year"
2016-04-16,1.37745833333333,1.64545833333333,2016
2016-04-17,1.32073913043478,1.58873913043478,2016
2016-04-18,1.290625,1.558625,2016
2016-04-19,1.362375,1.630375,2016
2016-04-20,1.41108333333333,1.67908333333333,2016
2016-04-21,1.44658333333333,1.71458333333333,2016
2016-04-22,1.46295833333333,1.73095833333333,2016
2016-04-23,1.4505,1.7185,2016
2016-04-24,1.45304166666667,1.72104166666667,2016
2016-04-25,1.43704166666667,1.70504166666667,2016
2016-04-26,1.39108333333333,1.65908333333333,2016
2016-04-27,1.32141666666667,1.58941666666667,2016
2016-04-28,1.085125,1.353125,2016
2016-04-29,1.215625,1.483625,2016
2016-04-30,1.19608333333333,1.46408333333333,2016
2016-05-01,1.16575,1.43375,2016
2016-05-02,1.12633333333333,1.39433333333333,2016
2016-05-04,1.18358333333333,1.45158333333333,2016
2016-05-05,1.18033333333333,1.44833333333333,2016
2016-05-06,1.18920833333333,1.45720833333333,2016
2016-05-07,1.20095833333333,1.46895833333333,2016
2016-05-08,1.20591666666667,1.47391666666667,2016
2016-05-09,1.182125,1.450125,2016
2016-05-10,1.19108333333333,1.45908333333333,2016
2016-05-11,1.19508333333333,1.46308333333333,2016
2016-05-12,1.19983333333333,1.46783333333333,2016
2016-05-13,1.194,1.462,2016
2016-05-14,1.19670833333333,1.46470833333333,2016
2016-05-15,1.20225,1.47025,2016
2016-05-16,1.22,1.488,2016
2016-05-17,1.22779166666667,1.49579166666667,2016
2016-05-18,1.23883333333333,1.50683333333333,2016
2016-05-19,1.24704166666667,1.51504166666667,2016
2016-05-20,1.23416666666667,1.50216666666667,2016
2016-05-21,1.221375,1.489375,2016
2016-05-22,1.20595833333333,1.47395833333333,2016
2016-05-23,1.18929166666667,1.45729166666667,2016
2016-05-24,1.16929166666667,1.43729166666667,2016
2016-05-25,1.117125,1.385125,2016
2016-05-26,1.07291666666667,1.34091666666667,2016
2016-05-27,1.060375,1.328375,2016
2016-05-28,1.068625,1.336625,2016
2016-05-29,1.05366666666667,1.32166666666667,2016
2016-05-30,1.016625,1.284625,2016
2016-06-04,1.00875,1.27675,2016
2016-06-05,1.02004166666667,1.28804166666667,2016
2016-06-06,1.04095833333333,1.30895833333333,2016
2016-06-07,1.064625,1.332625,2016
2016-06-08,1.09108333333333,1.35908333333333,2016
2016-06-09,1.12695833333333,1.39495833333333,2016
2016-06-10,1.14441666666667,1.41241666666667,2016
2016-06-11,1.156625,1.424625,2016
2016-06-12,1.124375,1.392375,2016
2016-06-13,1.09125,1.35925,2016
2016-06-14,1.06883333333333,1.33683333333333,2016
2016-06-15,1.04745833333333,1.31545833333333,2016
2016-06-16,1.017,1.285,2016
2016-06-23,1.00483333333333,1.27283333333333,2016
2016-06-24,1.010375,1.278375,2016
2016-07-09,1.00554166666667,1.27354166666667,2016
2016-07-10,1.03304166666667,1.30104166666667,2016
2016-07-11,1.03675,1.30475,2016
2016-07-12,1.03641666666667,1.30441666666667,2016
2016-07-13,1.03704166666667,1.30504166666667,2016
2016-07-14,1.0245,1.2925,2016
2016-07-15,1.010875,1.278875,2016
2016-08-17,1.01495833333333,1.28295833333333,2016
2016-08-18,1.0155,1.2835,2016
2016-08-24,1.014125,1.282125,2016
2016-08-25,1.01658333333333,1.28458333333333,2016
2016-08-28,1.00291666666667,1.27091666666667,2016
2016-08-29,1.00975,1.27775,2016
2016-08-30,1.014,1.282,2016
2016-08-31,1.028,1.296,2016
2016-09-01,1.06583333333333,1.33383333333333,2016
2016-09-02,1.08658333333333,1.35458333333333,2016
2016-09-03,1.07845833333333,1.34645833333333,2016
2016-09-04,1.07575,1.34375,2016
2016-09-05,1.07570833333333,1.34370833333333,2016
2016-09-06,1.08791666666667,1.35591666666667,2016
2016-09-07,1.0995,1.3675,2016
2016-09-08,1.11166666666667,1.37966666666667,2016
2016-09-09,1.12891666666667,1.39691666666667,2016
2016-09-10,1.14616666666667,1.41416666666667,2016
2016-09-11,1.128,1.396,2016
2016-09-12,1.12591666666667,1.39391666666667,2016
2016-09-13,1.18591666666667,1.45391666666667,2016
2016-09-14,1.264125,1.532125,2016
2016-09-15,1.35354166666667,1.62154166666667,2016
2016-09-16,1.35616666666667,1.62416666666667,2016
2016-09-17,1.42308333333333,1.69108333333333,2016
2016-09-18,1.431375,1.699375,2016
2016-09-19,1.41466666666667,1.68266666666667,2016
2016-09-20,1.384125,1.652125,2016
2016-09-21,1.34629166666667,1.61429166666667,2016
2016-09-22,1.299125,1.567125,2016
2016-09-23,1.27726086956522,1.54526086956522,2016
2016-09-24,1.25725,1.52525,2016
2016-09-25,1.24070833333333,1.50870833333333,2016
2016-09-26,1.21013043478261,1.47813043478261,2016
2016-09-27,1.18095833333333,1.44895833333333,2016
2016-09-28,1.15079166666667,1.41879166666667,2016
2016-09-29,1.102,1.37,2016
2016-09-30,1.105875,1.373875,2016
2016-10-01,1.10829166666667,1.37629166666667,2016
2016-10-02,1.12029166666667,1.38829166666667,2016
2016-10-03,1.10883333333333,1.37683333333333,2016
2016-10-04,1.12583333333333,1.39383333333333,2016
2016-10-05,1.186,1.454,2016
2016-10-06,1.18825,1.45625,2016
2016-10-07,1.43245833333333,1.70045833333333,2016
2016-10-08,1.525125,1.793125,2016
2016-10-09,1.516375,1.784375,2016
2016-10-10,1.47804166666667,1.74604166666667,2016
2016-10-11,1.49729166666667,1.76529166666667,2016
2016-10-12,1.569,1.837,2016
2016-10-13,1.621375,1.889375,2016
2016-10-14,1.98166666666667,2.24966666666667,2016
2016-10-15,2.16065217391304,2.42865217391304,2016
2016-10-16,2.307625,2.575625,2016
2016-10-17,2.27554166666667,2.54354166666667,2016
2016-10-18,2.15616666666667,2.42416666666667,2016
2016-10-19,2.06079166666667,2.32879166666667,2016
2016-10-20,2.06970833333333,2.33770833333333,2016
2016-10-21,2.185625,2.453625,2016
2016-10-22,2.20333333333333,2.47133333333333,2016
2016-10-23,2.0775,2.3455,2016
2016-10-24,2.037625,2.305625,2016
2016-10-25,2.24683333333333,2.51483333333333,2016
2016-10-26,2.55195833333333,2.81995833333333,2016
2016-10-27,2.806875,3.074875,2016
2016-10-28,2.799875,3.067875,2016
2016-10-29,2.69479166666667,2.96279166666667,2016
2016-10-30,2.53141666666667,2.79941666666667,2016
2016-10-31,2.39583333333333,2.66383333333333,2016
2016-11-01,2.257875,2.525875,2016
2016-11-02,2.60766666666667,2.87566666666667,2016
2016-11-30,2.14133333333333,2.40933333333333,2016
