"date","mtemp","mair","year"
2018-05-19,13.0155833333333,14.91925,2018
2018-05-20,13.265625,14.4505416666667,2018
2018-05-21,14.2447916666667,15.1523333333333,2018
2018-05-22,15.6770416666667,17.4767083333333,2018
2018-05-23,16.8931666666667,18.611375,2018
2018-05-24,17.283875,16.983,2018
2018-05-25,16.2638888888889,11.1245555555556,2018
2018-05-27,17.4305555555556,16.832,2018
2018-05-28,17.1745416666667,14.88525,2018
2018-05-29,17.138,12.8942083333333,2018
2018-05-30,16.6432916666667,13.2262083333333,2018
2018-05-31,16.0365,12.9405833333333,2018
2018-06-01,15.5990416666667,11.37825,2018
2018-06-02,15.8516666666667,14.8792916666667,2018
2018-06-03,15.3958333333333,13.10175,2018
2018-06-04,15.6094583333333,12.4588333333333,2018
2018-06-05,15.5755416666667,10.5712083333333,2018
2018-06-06,15.4269583333333,14.272375,2018
2018-06-07,14.9453333333333,12.8467916666667,2018
2018-06-08,14.567625,11.8912083333333,2018
2018-06-09,14.4999166666667,11.6666666666667,2018
2018-06-10,14.9661666666667,10.6252083333333,2018
2018-06-11,15.2629583333333,12.5549166666667,2018
2018-06-12,15.034,11.63625,2018
2018-06-13,15.4375,13.0528333333333,2018
2018-06-14,15.7030833333333,13.937,2018
2018-06-15,16.1406666666667,14.626625,2018
2018-06-16,16.5651666666667,17.4615,2018
2018-06-17,17.2292083333333,19.6543333333333,2018
2018-06-18,18.2291666666667,21.5201666666667,2018
2018-06-19,18.5077916666667,21.14275,2018
2018-06-20,18.0182916666667,21.9930416666667,2018
2018-06-21,17.4010833333333,17.9914583333333,2018
2018-06-22,16.369875,15.9891666666667,2018
2018-06-23,16.7005,17.4267083333333,2018
2018-06-24,16.739625,14.5850833333333,2018
2018-06-25,16.3177083333333,13.948625,2018
2018-06-26,17.2214166666667,16.068,2018
2018-06-27,17.6015833333333,15.6002916666667,2018
2018-06-28,17.114625,14.109125,2018
2018-06-29,16.8750416666667,15.6770833333333,2018
2018-06-30,16.864625,15.928875,2018
2018-07-01,17.2735,16.087625,2018
2018-07-02,17.8333333333333,15.9075416666667,2018
2018-07-03,18.3880833333333,17.309875,2018
2018-07-04,18.6094166666667,19.12575,2018
2018-07-05,18.4636666666667,18.2653333333333,2018
2018-07-06,18.078125,16.367375,2018
2018-07-07,18.40875,17.4106666666667,2018
2018-07-08,18,17.5641666666667,2018
2018-07-09,18.6640416666667,16.08175,2018
2018-07-10,18.9269583333333,18.2168333333333,2018
2018-07-11,19.41925,19.9647083333333,2018
2018-07-12,20.062375,21.4035,2018
2018-07-13,20.1379583333333,21.0394583333333,2018
2018-07-14,20.172,21.1944166666667,2018
2018-07-15,20.75275,22.2824583333333,2018
2018-07-16,21.4637083333333,23.3195416666667,2018
2018-07-17,21.7864583333333,22.764875,2018
2018-07-18,21.369875,19.2154583333333,2018
2018-07-19,20.216125,18.1651666666667,2018
2018-07-20,19.8098333333333,17.792625,2018
2018-07-21,19.9791666666667,18.9925833333333,2018
2018-07-22,21.0209166666667,21.4268333333333,2018
2018-07-23,21.862125,22.8832916666667,2018
2018-07-24,22.4010416666667,22.9603333333333,2018
2018-07-25,22.6432083333333,23.382875,2018
2018-07-26,22.8125833333333,23.9393333333333,2018
2018-07-27,22.9974166666667,23.3696666666667,2018
2018-07-28,23.151,22.7105833333333,2018
2018-07-29,22.8514583333333,24.3485416666667,2018
2018-07-30,22.8878333333333,24.3092916666667,2018
2018-07-31,22.84375,20.6322916666667,2018
2018-08-01,21.572875,19.2473333333333,2018
2018-08-02,20.1640833333333,17.9590833333333,2018
2018-08-03,20.1875416666667,18.73475,2018
2018-08-04,20.8671666666667,20.9109166666667,2018
2018-08-05,21.6770833333333,22.225,2018
2018-08-06,22.4114166666667,23.0424166666667,2018
2018-08-07,22.5625,23.6156666666667,2018
2018-08-08,22.8905,24.9501666666667,2018
2018-08-09,23.1588333333333,24.1521666666667,2018
2018-08-10,23.0598333333333,22.4602083333333,2018
2018-08-11,22.375,18.595375,2018
2018-08-12,21.8332916666667,18.3056666666667,2018
2018-08-13,21.7499583333333,19.1723333333333,2018
2018-08-14,22.0780833333333,20.8289166666667,2018
2018-08-15,22.390375,22.059375,2018
2018-08-16,22.3567916666667,20.1695833333333,2018
2018-08-17,21.8985416666667,19.5392916666667,2018
2018-08-18,21.3490416666667,20.103875,2018
2018-08-19,21.2811666666667,19.385625,2018
2018-08-20,21.0911666666667,19.8793333333333,2018
2018-08-21,21.1875,20.59225,2018
2018-08-22,21.2110416666667,19.9295833333333,2018
2018-08-23,20.8152083333333,17.219,2018
2018-08-24,20.6405416666667,17.43475,2018
2018-08-25,20.1197916666667,15.531875,2018
2018-08-26,20.104125,16.8458333333333,2018
2018-08-27,20.0156666666667,18.1459166666667,2018
2018-08-28,20.1875833333333,18.8292916666667,2018
2018-08-29,20.1979166666667,18.081375,2018
2018-08-30,19.7657083333333,17.0558333333333,2018
2018-08-31,19.1772083333333,15.44825,2018
2018-09-01,19.2082916666667,16.4379166666667,2018
2018-09-02,19.3098333333333,16.9669583333333,2018
2018-09-03,19.46875,16.547,2018
2018-09-04,19.080625,16.213,2018
2018-09-05,19.1745,17.775,2018
2018-09-06,19.7291666666667,20.0097083333333,2018
2018-09-07,19.1901666666667,14.9609166666667,2018
2018-09-08,18.7109166666667,14.5993333333333,2018
