"id","type","latitude","longitude","type_2","identifier","station_number","prov_terr_state_loc","station_name","level_symbol_fr","discharge","date","discharge_symbol_en","level_symbol_en","discharge_symbol_fr","level"
"08HB017.1961-02-17","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-17","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,188,"1961-02-17",NA,NA,NA,NA
"08HB017.1961-02-18","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-18","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,163,"1961-02-18",NA,NA,NA,NA
"08HB017.1961-02-19","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-19","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,161,"1961-02-19",NA,NA,NA,NA
"08HB017.1961-02-20","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-20","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,178,"1961-02-20",NA,NA,NA,NA
"08HB017.1961-02-21","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-21","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,243,"1961-02-21",NA,NA,NA,NA
"08HB017.1961-02-22","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-22","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,266,"1961-02-22",NA,NA,NA,NA
"08HB017.1961-02-23","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-23","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,255,"1961-02-23",NA,NA,NA,NA
"08HB017.1961-02-24","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-24","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,283,"1961-02-24",NA,NA,NA,NA
"08HB017.1961-02-25","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-25","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,232,"1961-02-25",NA,NA,NA,NA
"08HB017.1961-02-26","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-26","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,201,"1961-02-26",NA,NA,NA,NA
"08HB017.1961-02-27","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-27","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,189,"1961-02-27",NA,NA,NA,NA
"08HB017.1961-02-28","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-28","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,188,"1961-02-28",NA,NA,NA,NA
"08HB017.1961-03-01","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-01","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,235,"1961-03-01",NA,NA,NA,NA
"08HB017.1961-03-02","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-02","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,208,"1961-03-02",NA,NA,NA,NA
"08HB017.1961-03-03","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-03","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,188,"1961-03-03",NA,NA,NA,NA
"08HB017.1961-03-04","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-04","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,169,"1961-03-04",NA,NA,NA,NA
"08HB017.1961-03-05","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-05","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,156,"1961-03-05",NA,NA,NA,NA
"08HB017.1961-03-06","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-06","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,142,"1961-03-06",NA,NA,NA,NA
"08HB017.1961-03-07","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-07","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,127,"1961-03-07",NA,NA,NA,NA
"08HB017.1961-03-08","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-08","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,132,"1961-03-08",NA,NA,NA,NA
"08HB017.1961-03-09","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-09","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,148,"1961-03-09",NA,NA,NA,NA
"08HB017.1961-03-10","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-10","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,142,"1961-03-10",NA,NA,NA,NA
"08HB017.1961-03-11","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-11","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,134,"1961-03-11",NA,NA,NA,NA
"08HB017.1961-03-12","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-12","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,138,"1961-03-12",NA,NA,NA,NA
"08HB017.1961-03-13","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-13","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,133,"1961-03-13",NA,NA,NA,NA
"08HB017.1961-03-14","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-14","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,141,"1961-03-14",NA,NA,NA,NA
"08HB017.1961-03-15","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-15","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,202,"1961-03-15",NA,NA,NA,NA
"08HB017.1961-03-16","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-16","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,229,"1961-03-16",NA,NA,NA,NA
"08HB017.1961-03-17","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-17","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,214,"1961-03-17",NA,NA,NA,NA
"08HB017.1961-03-18","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-18","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,191,"1961-03-18",NA,NA,NA,NA
"08HB017.1961-03-19","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-19","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,180,"1961-03-19",NA,NA,NA,NA
"08HB017.1961-03-20","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-20","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,192,"1961-03-20",NA,NA,NA,NA
"08HB017.1961-03-21","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-21","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,192,"1961-03-21",NA,NA,NA,NA
"08HB017.1961-03-22","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-22","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,185,"1961-03-22",NA,NA,NA,NA
"08HB017.1961-03-23","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-23","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,198,"1961-03-23",NA,NA,NA,NA
"08HB017.1961-03-24","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-24","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,203,"1961-03-24",NA,NA,NA,NA
"08HB017.1961-03-25","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-25","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,204,"1961-03-25",NA,NA,NA,NA
"08HB017.1961-03-26","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-26","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,197,"1961-03-26",NA,NA,NA,NA
"08HB017.1961-03-27","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-27","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,188,"1961-03-27",NA,NA,NA,NA
"08HB017.1961-03-28","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-28","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,176,"1961-03-28",NA,NA,NA,NA
"08HB017.1961-03-29","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-29","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,164,"1961-03-29",NA,NA,NA,NA
"08HB017.1961-03-30","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-30","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,152,"1961-03-30",NA,NA,NA,NA
"08HB017.1961-03-31","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-03-31","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,149,"1961-03-31",NA,NA,NA,NA
"08HB017.1961-04-01","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-01","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,189,"1961-04-01",NA,NA,NA,NA
"08HB017.1961-04-02","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-02","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,258,"1961-04-02",NA,NA,NA,NA
"08HB017.1961-04-03","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-03","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,250,"1961-04-03",NA,NA,NA,NA
"08HB017.1961-04-04","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-04","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,227,"1961-04-04",NA,NA,NA,NA
"08HB017.1961-04-05","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-05","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,200,"1961-04-05",NA,NA,NA,NA
"08HB017.1961-04-06","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-06","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,179,"1961-04-06",NA,NA,NA,NA
"08HB017.1961-04-07","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-07","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,163,"1961-04-07",NA,NA,NA,NA
"08HB017.1961-04-08","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-08","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,151,"1961-04-08",NA,NA,NA,NA
"08HB017.1961-04-09","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-09","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,141,"1961-04-09",NA,NA,NA,NA
"08HB017.1961-04-10","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-10","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,134,"1961-04-10",NA,NA,NA,NA
"08HB017.1961-04-11","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-11","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,123,"1961-04-11",NA,NA,NA,NA
"08HB017.1961-04-12","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-12","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,114,"1961-04-12",NA,NA,NA,NA
"08HB017.1961-04-13","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-13","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,109,"1961-04-13",NA,NA,NA,NA
"08HB017.1961-04-14","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-14","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,102,"1961-04-14",NA,NA,NA,NA
"08HB017.1961-04-15","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-15","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,91.6999969482422,"1961-04-15",NA,NA,NA,NA
"08HB017.1961-04-16","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-16","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,90.3000030517578,"1961-04-16",NA,NA,NA,NA
"08HB017.1961-04-17","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-17","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,97.4000015258789,"1961-04-17",NA,NA,NA,NA
"08HB017.1961-04-18","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-18","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,104,"1961-04-18",NA,NA,NA,NA
"08HB017.1961-04-19","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-19","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,96.8000030517578,"1961-04-19",NA,NA,NA,NA
"08HB017.1961-04-20","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-20","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,86.6999969482422,"1961-04-20",NA,NA,NA,NA
"08HB017.1961-04-21","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-21","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,86.6999969482422,"1961-04-21",NA,NA,NA,NA
"08HB017.1961-04-22","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-22","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,89.8000030517578,"1961-04-22",NA,NA,NA,NA
"08HB017.1961-04-23","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-23","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,92.5999984741211,"1961-04-23",NA,NA,NA,NA
"08HB017.1961-04-24","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-24","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,90.3000030517578,"1961-04-24",NA,NA,NA,NA
"08HB017.1961-04-25","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-25","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,86.9000015258789,"1961-04-25",NA,NA,NA,NA
"08HB017.1961-04-26","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-26","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,87.8000030517578,"1961-04-26",NA,NA,NA,NA
"08HB017.1961-04-27","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-27","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,88.9000015258789,"1961-04-27",NA,NA,NA,NA
"08HB017.1961-04-28","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-28","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,90.5999984741211,"1961-04-28",NA,NA,NA,NA
"08HB017.1961-04-29","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-29","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,116,"1961-04-29",NA,NA,NA,NA
"08HB017.1961-04-30","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-04-30","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,148,"1961-04-30",NA,NA,NA,NA
"08HB017.1961-05-01","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-01","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,173,"1961-05-01",NA,NA,NA,NA
"08HB017.1961-05-02","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-02","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,220,"1961-05-02",NA,NA,NA,NA
"08HB017.1961-05-03","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-03","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,222,"1961-05-03",NA,NA,NA,NA
"08HB017.1961-05-04","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-04","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,203,"1961-05-04",NA,NA,NA,NA
"08HB017.1961-05-05","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-05","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,184,"1961-05-05",NA,NA,NA,NA
"08HB017.1961-05-06","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-06","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,171,"1961-05-06",NA,NA,NA,NA
"08HB017.1961-05-07","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-07","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,160,"1961-05-07",NA,NA,NA,NA
"08HB017.1961-05-08","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-08","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,155,"1961-05-08",NA,NA,NA,NA
"08HB017.1961-05-09","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-09","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,165,"1961-05-09",NA,NA,NA,NA
"08HB017.1961-05-10","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-10","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,177,"1961-05-10",NA,NA,NA,NA
"08HB017.1961-05-11","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-11","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,178,"1961-05-11",NA,NA,NA,NA
"08HB017.1961-05-12","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-12","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,174,"1961-05-12",NA,NA,NA,NA
"08HB017.1961-05-13","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-05-13","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,163,"1961-05-13",NA,NA,NA,NA
